id,first_name,last_name,birth_date,gender
1,Chiarra,Petrina,07/15/1977,true
2,Jarvis,Sawday,11/27/1973,false
3,Tally,Biaggi,08/17/1989,false
4,Inez,McFall,11/16/1995,true
5,Leslie,Ros,04/12/1994,false
6,Morganne,Toward,10/07/1983,true
7,Errol,Krop,01/05/1996,true
8,Kimmie,Whewill,10/06/1990,false
9,Boris,Totaro,07/17/1988,true
10,Tabbie,Nudde,07/05/1975,true
11,Drud,Moffat,12/24/1997,false
12,Dianne,Nanson,08/04/1981,true
13,Latrena,Londors,03/19/1997,true
14,Cchaddie,Gorham,06/27/1983,true
15,Cyrus,Philpin,12/24/2000,true
16,Trula,Seathwright,06/07/2000,false
17,Amabel,Heatly,04/30/1998,false
18,Burty,Scoggans,06/18/1985,false
19,Tommie,Dally,03/04/1980,false
20,Egon,Ferrulli,11/29/1976,false
